C.C.Altinho,,Sub Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403001
Miramar,,Sub Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswaddi,Goa,India,403001
Panaji,,Head Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403001
St Inez,,Sub Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403001
Caranzalem,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403002
Nio Dona Paula,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403004
Santa Cruz,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403005
Chimbel,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403006
Ribandar,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403006
Betim,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403101
Penha De France,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403101
Salvador De Mond,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403101
Chorao,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403102
Shiroda (North Goa),,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Ponda,Goa,India,403103
Tarvalem,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Ponda,Goa,India,403103
Mandur,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403104
Neura,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403104
Pale,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403105
Velguem,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403105
Sant Estevam,,Sub Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403106
Amona,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Sanquelim,Goa,India,403107
Banastrim,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403107
Betki,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Ponda,Goa,India,403107
Cumbharjua,,Branch Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403107
Marcela,,Sub Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403107
Goa -velha,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403108
Siridao,,Branch Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403108
N B Verem,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403109
Carambolim,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403110
Corlim IE,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403110
Nerul,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403114
Pilerne,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403114
Reis Magos,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403114
Cundaim I.E.,,Sub Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403115
Cundiam,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403115
Bambolim Camp,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403201
Bambolim Complex,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403202
Pilar (North Goa),,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403203
St. Lourence,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403204
Goa University,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403206
Agapur Adpoi,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Bandora,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Betora,,Branch Post Office,Non-Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Borim,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Curti,,Branch Post Office,Non-Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Durbhat,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Farmagudi,,Branch Post Office,Non-Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Nirankal,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Ponda,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Ponda Camp,,Sub Post Office,Non-Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Quela,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Querim,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Verem De Ponda,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403401
Velha-goa,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403402
Malar,,Branch Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403403
Piedade,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Tiswadi,Goa,India,403403
Marcaim,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Ponda,Goa,India,403404
Mardol,,Sub Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403404
Priol,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403404
Candepar,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Ponda,Goa,India,403406
Darbandora,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Ponda,Goa,India,403406
Pillem,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Ponda,Goa,India,403406
Sancordem,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Ponda,Goa,India,403406
Tisca,,Sub Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403406
Usgao,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Ponda,Goa,India,403406
Betora I.E.,,Sub Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Ponda,Goa,India,403409
Collem,,Sub Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Quepem,Goa,India,403410
Mollem,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Sanguem,Goa,India,403410
Sigao,,Branch Post Office,Delivery,Maharashtra,South Goa,Goa,Goa-Panaji,Sanguem,Goa,India,403410
Porvorim,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403501
Sirsaim,,Branch Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403502
Tivim,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403502
Advalpal,,Branch Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403503
Assonora,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403503
Dodamarg,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403503
Ibrampur,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Pernem,Goa,India,403503
Mulgao,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403503
Nanora,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403503
Salem,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403503
Sirgao,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403503
Bicholim,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403504
Maulinge,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403504
Mayem,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403504
Pilgao,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403504
Carapur,,Branch Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403505
Cudne,,Branch Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403505
Kerim,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403505
Morlem,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403505
Navelim,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403505
Poriem,,Branch Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403505
Pratapnagar Harvale,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403505
Sanquelim,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403505
Surla,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bicholim,Goa,India,403505
Birondam,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403506
Cotorem,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403506
Guleli,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403506
Mauzi,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403506
Nagargaon,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403506
Nanorem,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403506
Sanvordem,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403506
Thana,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403506
Valpoi,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403506
Velguem O,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Sattari,Goa,India,403506
Assagao,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403507
Bastora,,Branch Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403507
Camurlim,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403507
Gurim,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403507
Mapusa,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403507
Mapusa I.E.,,Sub Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403507
Moira,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403507
Ucassiam,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403507
Aldona,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403508
Corjuim,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403508
Nachinola,,Branch Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403508
Anjuna,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403509
Caisua,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403509
Canca,,Branch Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403510
Parra,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403510
Saligao,,Sub Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403511
Sangolda,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403511
Sem Saligao,,Branch Post Office,Non-Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Bardez,Goa,India,403511
Agarwada,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Pernem,Goa,India,403512
Cansarvornem,,Branch Post Office,Delivery,Maharashtra,North Goa,Goa,Goa-Panaji,Pernem,Goa,India,403512
